Day;Date;Visitor
zaterdag;12/08/2023;646
zondag;13/08/2023;487
maandag;14/08/2023;
dinsdag;15/08/2023;374
woensdag;16/08/2023;389
donderdag;17/08/2023;325
vrijdag;18/08/2023;356
zaterdag;19/08/2023;390
zondag;20/08/2023;239
maandag;21/08/2023;177
dinsdag;22/08/2023;283
woensdag;23/08/2023;316
donderdag;24/08/2023;371
vrijdag;25/08/2023;452
zaterdag;26/08/2023;693
zondag;27/08/2023;526
maandag;28/08/2023;286
dinsdag;29/08/2023;414
woensdag;30/08/2023;572
donderdag;31/08/2023;453
vrijdag;01/09/2023;516
zaterdag;02/09/2023;477
zondag;03/09/2023;287
maandag;04/09/2023;177
dinsdag;05/09/2023;148
woensdag;06/09/2023;210
donderdag;07/09/2023;166
vrijdag;08/09/2023;194
zaterdag;09/09/2023;263
zondag;10/09/2023;208
maandag;11/09/2023;150
dinsdag;12/09/2023;189
woensdag;13/09/2023;223
donderdag;14/09/2023;179
vrijdag;15/09/2023;308
zaterdag;16/09/2023;372
zondag;17/09/2023;448
maandag;18/09/2023;198
dinsdag;19/09/2023;320
woensdag;20/09/2023;359
donderdag;21/09/2023;302
vrijdag;22/09/2023;407
zaterdag;23/09/2023;681
zondag;24/09/2023;404
maandag;25/09/2023;413
dinsdag;26/09/2023;196
woensdag;27/09/2023;270
donderdag;28/09/2023;303
vrijdag;29/09/2023;405
zaterdag;30/09/2023;474
zondag;01/10/2023;330
maandag;02/10/2023;271
dinsdag;03/10/2023;323
woensdag;04/10/2023;267
donderdag;05/10/2023;372
vrijdag;06/10/2023;599
zaterdag;07/10/2023;700
zondag;08/10/2023;528
maandag;09/10/2023;296
dinsdag;10/10/2023;320
woensdag;11/10/2023;348
donderdag;12/10/2023;348
vrijdag;13/10/2023;485
zaterdag;14/10/2023;729
zondag;15/10/2023;665
maandag;16/10/2023;258
dinsdag;17/10/2023;308
woensdag;18/10/2023;308
donderdag;19/10/2023;391
vrijdag;20/10/2023;707
zaterdag;21/10/2023;712
zondag;22/10/2023;596
maandag;23/10/2023;435
dinsdag;24/10/2023;603
woensdag;25/10/2023;501
donderdag;26/10/2023;411
vrijdag;27/10/2023;650
zaterdag;28/10/2023;756
zondag;29/10/2023;591
maandag;30/10/2023;254
dinsdag;31/10/2023;271
woensdag;01/11/2023;390
donderdag;02/11/2023;255
vrijdag;03/11/2023;473
zaterdag;04/11/2023;626
zondag;05/11/2023;519
maandag;06/11/2023;265
dinsdag;07/11/2023;227
woensdag;08/11/2023;291
donderdag;09/11/2023;285
vrijdag;10/11/2023;822
zaterdag;11/11/2023;744
zondag;12/11/2023;540
maandag;13/11/2023;233
dinsdag;14/11/2023;276
woensdag;15/11/2023;264
donderdag;16/11/2023;314
vrijdag;17/11/2023;502
zaterdag;18/11/2023;737
zondag;19/11/2023;590
maandag;20/11/2023;306
dinsdag;21/11/2023;248
woensdag;22/11/2023;271
donderdag;23/11/2023;270
vrijdag;24/11/2023;538
zaterdag;25/11/2023;892
zondag;26/11/2023;772
maandag;27/11/2023;292
dinsdag;28/11/2023;283
woensdag;29/11/2023;329
donderdag;30/11/2023;292
vrijdag;01/12/2023;477
zaterdag;02/12/2023;895
zondag;03/12/2023;634
maandag;04/12/2023;321
dinsdag;05/12/2023;389
woensdag;06/12/2023;447
donderdag;07/12/2023;335
vrijdag;08/12/2023;625
zaterdag;09/12/2023;760
zondag;10/12/2023;703
maandag;11/12/2023;327
dinsdag;12/12/2023;463
woensdag;13/12/2023;384
donderdag;14/12/2023;356
vrijdag;15/12/2023;558
zaterdag;16/12/2023;857
zondag;17/12/2023;639
maandag;18/12/2023;388
dinsdag;19/12/2023;336
woensdag;20/12/2023;353
donderdag;21/12/2023;267
vrijdag;22/12/2023;1437
zaterdag;23/12/2023;817
zondag;24/12/2023;768
maandag;25/12/2023;610
dinsdag;26/12/2023;942
woensdag;27/12/2023;1236
donderdag;28/12/2023;1186
vrijdag;29/12/2023;1289
zaterdag;30/12/2023;1035
zondag;31/12/2023;379
maandag;01/01/2024;533
dinsdag;02/01/2024;932
woensdag;03/01/2024;1190
donderdag;04/01/2024;1007
vrijdag;05/01/2024;1301
zaterdag;06/01/2024;1139
Zondag;07/01/2024;900
maandag;08/01/2024;403
dinsdag;09/01/2024;366
woensdag;10/01/2024;504
donderdag;11/01/2024;497
vrijdag;12/01/2024;884
zaterdag;13/01/2024;1356
Zondag;14/01/2024;1106
maandag;15/01/2024;335
dinsdag;16/01/2024;417
woensdag;17/01/2024;584
donderdag;18/01/2024;347
vrijdag;19/01/2024;710
zaterdag;20/01/2024;1106
Zondag;21/01/2024;935
maandag;22/01/2024;363
dinsdag;23/01/2024;364
woensdag;24/01/2024;434
donderdag;25/01/2024;331
vrijdag;26/01/2024;656
zaterdag;27/01/2024;967
Zondag;28/01/2024;701
maandag;29/01/2024;341
dinsdag;30/01/2024;355
woensdag;31/01/2024;577
donderdag;01/02/2024;481
vrijdag;02/02/2024;795
zaterdag;03/02/2024;1137
Zondag;04/02/2024;1081
maandag;05/02/2024;367
dinsdag;06/02/2024;445
woensdag;07/02/2024;523
donderdag;08/02/2024;493
vrijdag;09/02/2024;869
zaterdag;10/02/2024;1272
Zondag;11/02/2024;1112
maandag;12/02/2024;413
dinsdag;13/02/2024;375
woensdag;14/02/2024;587
donderdag;15/02/2024;494
vrijdag;16/02/2024;788
Zaterdag;17/02/2024;1131
Zondag;18/02/2024;1212
maandag;19/02/2024;556
dinsdag;20/02/2024;706
woensdag;21/02/2024;893
donderdag;22/02/2024;643
vrijdag;23/02/2024;864
zaterdag;24/02/2024;936
Zondag;25/02/2024;833
maandag;26/02/2024;382
dinsdag;27/02/2024;453
woensdag;28/02/2024;505
donderdag;29/02/2024;416
vrijdag;01/03/2024;610
zaterdag;02/03/2024;922
Zondag;03/03/2024;731
maandag;04/03/2024;437
dinsdag;05/03/2024;389
